Resource_ID,Domain_ID,Domain,Resource_Name,Resource_Description,Resource_type,Resource_Redirect_URL,Category,Resource_icon
pzn6qsrm,08c7f2fb,Deal With Anxiety,Anxiety - Stress Relief Helper,Feeling Anxious? Stressed out? Need to Reduce Stress? Any Anxiety Disorder? Looking for an Anxiety Therapy or an Anxiety Helper?,Application,https://play.google.com/store/apps/details?id=com.anxietyrelief.app,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/anxiety-stress-relief-helper-icon.png
wzlsse51,b2293dc3,Mental Health,The Mighty,Get the health answers you need from people who live it every day,Website,https://themighty.com/,,https://themighty.com/static/mighty-logo-sm.png
ca8wyfbm,b2293dc3,Mental Health,Jack,Website talking about mental health,Website,https://jack.org/Home?gclid=CjwKCAjwwL6aBhBlEiwADycBIEwgk5zh2wE61ZNr7PgMFQLFj64YFU8AP__zwXaW0GI4hn_ghRmDIRoCh6kQAvD_BwE,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/jack-org-icon.png
k911ynru,b2293dc3,Mental Health,HelpGuide,Guide to mental health & wellness,Website,https://www.helpguide.org/,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/helpguide-icon.png
ihrk3jlz,2b20d522,Health Management,HealthUnlocked,Social network for health,Website,https://healthunlocked.com/,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/healthunlocked-icon.png
y3jsv8uh,b2293dc3,Mental Health,Nami,"Provides advocacy, education, support and public awareness so that all individuals and families affected by mental illness can build better lives.",Resource URL,https://www.nami.org/Support-Education,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/nami-icon.png
lsovqlhu,d308ebe2,Professional Consultancy,Support Groups Central,Get Connected With Peer Support Groups and Certified Coaches,Website,https://www.heypeers.com/,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/supportgroupscentral-icon.jpg
u4kjx4ef,b2293dc3,Mental Health,Calm Sage,Community working towards changing the way individuals think & act about problems related to Mental Health.,Website,https://www.calmsage.com/,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/calm-sage-icon.png
s62d23fd,40ff6da3,Relaxation,Mental Health(Relaxation),Relaxation techniques: Try these steps to reduce stress,Blog,https://www.mayoclinic.org/healthy-lifestyle/stress-management/in-depth/relaxation-technique/art-20045368,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/mayo-icon.png
h3ic8xqj,40ff6da3,Relaxation,Relaxation Tips,8 Relaxation tips,Blog,https://www.mind.org.uk/information-support/tips-for-everyday-living/relaxation/relaxation-tips/,,https://www.mind.org.uk/assets/images/Mind_Squiggle_Wordmark_Blue_RGB.png
2nd6xm9x,b2293dc3,Mental Health,MedlinePlus,How to improve mental health,Blog,https://medlineplus.gov/howtoimprovementalhealth.html,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/medline-plus-icon.png
ulh2nfq8,40ff6da3,Relaxation,Ways to relax,18 Quick ways to relax,Blog,https://www.stress.org/18-quick-ways-to-relax-instantly-according-to-science,,https://www.stress.org/wp-content/uploads/2019/01/logo2_SM2.png
qhnx6xx1,b2293dc3,Mental Health,Self Sabotage,Understanding and Overcomming the subliminal thoughts of Self Sabotage,Blog,https://psychcentral.com/blog/overcome-self-sabotage,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/psychcentral-icon.png
p3g38e8b,08c7f2fb,Deal With Anxiety,Negative Thinking,Identifying distorted thoughts and helps you to overcome them.,Blog,https://psychcentral.com/lib/cognitive-distortions-negative-thinking,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/psychcentral-icon.png
9t6q9roj,b2293dc3,Mental Health,Impostor Syndrome,Doubting your abilities and feeling like a fraud,Blog,https://psychcentral.com/lib/impostor-syndrome,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/psychcentral-icon.png
hgiwj4ri,g98a94gj,Relationships,Codependency,"When each person involved is mentally, emotionally, physically, and/or spiritually reliant on the other.",Blog,https://psychcentral.com/lib/symptoms-signs-of-codependency,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/psychcentral-icon.png
